Timestamp,Q1,Q2,Q3,Q4,N_CH,R_CH,S_CH,L_CH,C_CH,V_p,N_p,B_z,Dst
2000-08-02 00:30:00,0.005,0.108,0.0065,0.0038,0.0,0.0,2.6723,0.0,0.5348,493.0,6.619999885559082,2.01696,-32.0
2000-08-02 00:54:00,0.0118,0.032,0.0023,0.0061,0.0,0.0,2.8713,0.0,0.5639,500.0,6.619999885559082,2.3362,-32.0
2000-08-02 01:31:00,0.0072,0.0076,0.0107,0.0034,0.0,0.0,1.777,0.0,0.4311,477.0,7.21999979019165,4.33648,-28.0
2000-08-02 01:54:00,0.0191,0.0084,0.0053,0.0011,0.0,0.0231,1.713,0.0,0.3704,460.0,7.599999904632568,0.22256000000000004,-24.0
2000-08-02 02:06:00,0.0069,0.0072,0.0088,0.0111,0.0,0.0,1.8057,0.0,0.3432,460.0,7.599999904632568,0.22256000000000004,-24.0
2000-08-02 02:30:00,0.0046,0.4852,0.0084,0.0027,0.0,0.0,1.3016,0.0,0.1985,452.0,6.800000190734863,-4.525,-22.0
2000-08-02 02:54:00,0.0076,0.7008,0.0191,0.0011,0.0,0.0,0.7975,0.0,0.3034,441.0,6.800000190734863,-4.94848,-20.0
2000-08-02 03:06:00,0.0053,0.1431,0.0095,0.0099,0.0,0.0,1.1043,0.0,0.4627,441.0,7.489999771118164,-4.94848,-20.0
2000-08-02 03:30:00,0.021,0.3864,0.0042,0.0031,0.0,0.0,1.1128,0.0,0.4754,457.0,7.489999771118164,-4.414359999999999,-25.0
2000-08-02 03:54:00,0.0095,0.0622,0.0187,0.0042,0.0,0.0,0.73,0.0,0.4153,488.0,6.610000133514404,-3.7868,-30.0
2000-08-02 04:06:00,0.0072,0.0122,0.0023,0.0019,0.0,0.0,0.9644,0.0,0.5196,434.0,6.610000133514404,-4.28016,-30.0
2000-08-02 04:30:00,0.0111,0.1034,0.008,0.0019,0.0,0.0,0.6896,0.0,0.1327,436.0,5.449999809265137,-1.03196,-33.5
2000-08-02 04:54:00,0.0072,0.6138,0.0053,0.0023,0.0,0.0,0.7149,0.0,0.086,445.0,5.449999809265137,0.7044400000000001,-37.0
2000-08-02 05:06:00,0.0092,0.2705,0.021,0.0031,0.0,0.0,0.4063,0.0,0.0,445.0,5.5,0.7044400000000001,-37.0
2000-08-02 05:30:00,0.0088,0.412,0.0065,0.005,0.0,0.0,0.4333,0.0,0.0,465.0,5.5,0.7778,-39.0
2000-08-02 05:54:00,0.0175,0.0435,0.0103,0.0107,0.0,0.0,0.4063,0.0,0.0,448.0,6.090000152587891,0.35247999999999996,-41.0
2000-08-02 06:06:00,0.0156,0.0069,0.0042,0.0046,0.0,0.0,0.5243,0.0,0.0,472.0,6.090000152587891,-1.7209999999999999,-41.0
2000-08-02 06:30:00,0.0076,0.0118,0.0088,0.0099,0.0,0.0,0.4636,0.0,0.0,451.0,6.53000020980835,-1.21452,-38.0
2000-08-02 06:54:00,0.0072,0.0057,0.0031,0.0004,0.0,0.0,0.2344,0.0,0.0,480.0,6.53000020980835,2.64125,-35.0
2000-08-02 07:31:00,0.0038,0.0072,0.0107,0.0008,0.0,0.0,0.349,0.0,0.0,492.0,5.289999961853027,3.1396800000000002,-32.0
2000-08-02 07:54:00,0.0015,0.0065,0.0107,0.0046,0.0,0.0,0.349,0.0,0.0,475.0,5.139999866485596,-0.35352000000000006,-29.0
2000-08-02 08:06:00,0.0057,0.0088,0.0103,0.0042,0.0,0.0,0.322,0.0,0.0,475.0,5.139999866485596,-0.35352000000000006,-29.0
2000-08-02 08:30:00,0.021,0.0103,0.0111,0.0027,0.0,0.0,0.295,0.0,0.0,517.0,5.179999828338623,0.05144,-26.0
2000-08-02 08:54:00,0.005,0.008,0.1068,0.0042,0.0,0.0,0.3827,0.0,0.0,481.0,5.179999828338623,-0.43468,-23.0
2000-08-02 09:06:00,0.0099,0.0137,0.016,0.005,0.0,0.0,0.086,0.0,0.0,476.0,5.039999961853027,-1.16932,-23.0
2000-08-02 09:30:00,0.0053,0.0034,0.0137,0.0031,0.0,0.0,0.1163,0.0,0.0,470.0,5.039999961853027,-2.4746799999999998,-22.0
2000-08-02 09:54:00,0.0053,0.0046,0.0072,0.0038,0.0,0.0,0.177,0.0,0.0,458.0,4.829999923706055,-0.9620399999999999,-21.0
2000-08-02 10:06:00,0.013,0.0038,0.0336,0.0027,0.0,0.0,0.2917,0.0,0.0,458.0,4.829999923706055,-0.9620399999999999,-21.0
2000-08-02 10:31:00,0.0011,0.4555,0.0088,0.0027,0.0,0.0,0.086,0.0,0.0,469.0,4.369999885559082,-0.7325200000000001,-20.0
2000-08-02 10:54:00,0.0217,0.9342,0.0046,0.0023,0.0,0.0,0.0,0.0,0.0,448.0,4.369999885559082,-3.09332,-19.0
2000-08-02 11:06:00,0.0156,0.1778,0.024,0.0008,0.0,0.0,0.2293,0.0,0.0,450.0,4.170000076293945,-2.34276,-19.0
2000-08-02 11:30:00,0.0069,0.3059,0.0103,0.0057,0.0,0.0,0.0658,0.0,0.0,441.0,4.170000076293945,-2.85964,-16.5
2000-08-02 11:54:00,0.0134,0.0782,0.0103,0.0008,0.0,0.0,0.2259,0.0,0.0,438.0,4.46999979019165,-1.6659199999999998,-14.0
2000-08-02 12:06:00,0.0107,0.005,0.0042,0.0065,0.0,0.0,0.0,0.0,0.0,438.0,4.46999979019165,-1.6659199999999998,-14.0
2000-08-02 12:30:00,0.0069,0.0027,0.0076,0.0004,0.0,0.0,0.0219,0.0,0.0,429.0,5.179999828338623,1.7339600000000002,-15.0
2000-08-02 12:54:00,0.0042,0.0046,0.0088,0.0019,0.0,0.0,0.0,0.0,0.0,438.0,5.179999828338623,3.49012,-16.0
2000-08-02 13:31:00,0.0309,0.2575,0.0111,0.0282,0.0,0.0,0.0,0.0,0.0,444.0,6.25,3.16152,-14.5
2000-08-02 13:54:00,0.0076,0.7351,0.0099,0.0031,0.0,0.0,0.0219,0.0,0.0,431.0,4.96999979019165,3.03024,-13.0
2000-08-02 14:06:00,0.0042,0.2026,0.0122,0.005,0.0,0.0,0.0219,0.0,0.0,428.0,4.96999979019165,2.76704,-13.0
2000-08-02 14:30:00,0.0153,0.4627,0.0084,0.0027,0.0,0.0,0.0,0.0,0.0,429.0,4.610000133514404,3.7412,-13.0
2000-08-02 14:54:00,0.0179,0.2346,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,447.0,4.610000133514404,1.92696,-13.0
2000-08-02 15:30:00,0.0072,0.1659,0.0072,0.0057,0.0,0.0,0.2647,0.0,0.0,468.0,5.96999979019165,-0.30608,-14.5
2000-08-02 15:54:00,0.0114,0.0565,0.0027,0.0153,0.0,0.0,0.3524,0.0,0.0,477.0,6.570000171661377,0.41244,-16.0
2000-08-02 16:06:00,0.013,0.0111,0.0057,0.0092,0.0,0.0,0.4097,0.0,0.0,477.0,6.570000171661377,-0.28996,-16.0
2000-08-02 16:30:00,0.0229,0.0061,0.0114,0.0103,0.0,0.0,0.322,0.0,0.0,473.0,6.28000020980835,-3.4335199999999997,-15.5
2000-08-02 16:54:00,0.005,0.0008,0.0011,0.0137,0.0,0.0,0.086,0.0,0.0,474.0,6.28000020980835,-2.58692,-15.0
2000-08-02 17:06:00,0.0069,0.0149,0.0019,0.0088,0.0,0.0,0.0,0.0,0.0,474.0,6.159999847412109,-2.58692,-15.0
2000-08-02 17:30:00,0.0065,0.0015,0.0084,0.0027,0.0,0.0,0.0219,0.0,0.0,460.0,6.159999847412109,-3.02672,-16.0
2000-08-02 17:54:00,0.0099,0.0023,0.0072,0.0126,0.0,0.0,0.0438,0.0,0.0,466.0,6.159999847412109,-4.60304,-17.0
2000-08-02 18:06:00,0.008,0.0011,0.016,0.0042,0.0,0.0,0.0,0.0,0.0,466.0,6.159999847412109,-4.60304,-17.0
2000-08-02 18:30:00,1.7986,0.0042,0.0069,0.0034,0.0,0.0,0.0,0.0,0.0,464.0,4.579999923706055,-0.73448,-18.5
2000-08-02 18:54:00,4.6795,0.0042,0.0061,0.0008,0.0,0.0,0.0,0.0,0.0,456.0,4.579999923706055,-3.45136,-20.0
2000-08-02 19:31:00,10.7834,0.1968,0.0248,0.0027,0.0,0.0,0.0,0.0,0.0,431.0,4.630000114440918,-3.4942399999999996,-19.5
2000-08-02 19:54:00,9.0553,0.0961,0.0019,0.0084,0.0,0.0,0.0,0.0,0.0,451.0,6.329999923706055,-2.68688,-19.0
2000-08-02 20:06:00,6.216,0.0019,0.0034,0.0015,0.0,0.0,0.0,0.0,0.0,451.0,6.329999923706055,-2.68688,-19.0
2000-08-02 20:30:00,5.5786,0.0069,0.0061,0.0031,0.0,0.0,0.0,0.0,0.0,445.0,6.809999942779541,1.25156,-18.0
2000-08-02 21:30:00,1.0754,0.2625,0.0175,0.0042,0.0,0.0,0.0,0.0,0.0,444.0,7.0,5.84508,-17.0
2000-08-02 21:54:00,0.0916,0.0526,0.0088,0.0046,0.0,0.0,0.0,0.0,0.0,442.0,6.949999809265137,-1.8456400000000002,-17.0
2000-08-02 22:06:00,0.0263,0.0027,0.0046,0.0011,0.0,0.0,0.0,0.0,0.0,442.0,6.949999809265137,-1.8456400000000002,-17.0
2000-08-02 22:30:00,0.016,0.0122,0.008,0.0042,0.0,0.0,0.0,0.0,0.0,442.0,6.28000020980835,1.9174,-17.0
2000-08-02 23:06:00,0.0912,0.0137,0.0111,0.0046,0.0,0.0,0.0,0.0,0.0,425.0,8.4399995803833,-2.60328,-17.0
2000-08-02 23:30:00,0.0145,0.0034,0.0065,0.005,0.0,0.0,0.0,0.0,0.0,424.0,8.4399995803833,-4.02832,-18.5
2000-08-02 23:54:00,0.0156,0.0164,0.0034,0.0019,0.0,0.0,0.0,0.0,0.0,428.0,7.96999979019165,-0.21592,-20.0
2000-08-03 00:06:00,0.005,0.0046,0.0072,0.0027,0.0,0.0,0.0,0.0,0.0,433.0,7.96999979019165,2.34284,-20.0
2000-08-03 00:30:00,0.0076,0.0034,0.0103,0.0038,0.0,0.0,0.0,0.0,0.0,432.0,7.659999847412109,-0.7532,-21.0
2000-08-03 00:54:00,0.0122,0.0072,0.0042,0.0061,0.0,0.0,0.0,0.0,0.0,425.0,7.659999847412109,1.29204,-22.0
2000-08-03 01:31:00,0.0,0.0038,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,430.0,7.46999979019165,-0.6873999999999999,-19.5
2000-08-03 01:54:00,0.0145,0.005,0.0038,0.0114,0.0,0.0,0.0,0.0,0.0,433.0,7.75,-2.43104,-17.0
2000-08-03 02:06:00,0.0053,0.0019,0.005,0.0023,0.0,0.0,0.0,0.0,0.0,422.0,7.75,-3.0025600000000003,-17.0
2000-08-03 02:30:00,0.008,0.0031,0.0114,0.0072,0.0,0.0,0.0,0.0,0.0,435.0,8.350000381469727,-1.6976666666666667,-17.5
2000-08-03 02:54:00,0.0038,0.0023,0.0187,0.0084,0.0,0.0,0.0219,0.0,0.0,426.0,8.350000381469727,0.46843999999999997,-18.0
